name;price
Балка 8486.1001020-11;68067.45999999999
Бачок охладителя 8423.1170294-30;5969.46
Блок цилиндров 842.1002012-20;401728.92
Блок цилиндров 852.1002010;509552.51999999996
Болт 239-1722142-02;1342
Болт 239-1721244-02;1138.26
Болт 310096-П29;257.42
Болт 840.1003016-01;764.9399999999999
Болт 840.1008504;411.14
Болт 8423.1008504;400.15999999999997
Болт 840.1117122;335.5
Болт 8424.3708800-10;484.34
Болт М10х1,25-6Дх140 200471-П29;80.52
Болт М10х1х22 310122-П29;164.7
Болт М10х1х40 310239-П29;275.71999999999997
Болт М12-6Дх30 310054-П29;263.52
Болт М12х1,25-6Дх30 310067-П2;491.65999999999997
Болт М12Х1,25-6ДХ95 310035-П29;472.14
Болт М14х48,5 310236-П29;312.32
Болт М16 847.1104433;463.59999999999997
Болт М8х1,25-6GX40 201464-П29;41.48
Болт противовеса 840.1005023;1274.8999999999999
Болт шатуна 840.1004062;890.6
Болт шкива 840.1005062-01;719.8
Вал 238М-1721312-50;39357.2
Вал 8481.1108045;6623.38
Вал вторичный 238М-1701105;17637.54
Вал выходной 202-1721300-42;95360.08
Вал коленчатый 8421.1005007;280263.27999999997
Вал коленчатый 8423.1005010;280077.83999999997
Вал коленчатый 849.1005010-01;293705.24
Вал привода 240-1029308-А;5114.24
Вал привода 240-1029330-Б;4024.7799999999997
Вал промежуточный 238М-1701047;63527.84
Вал промежуточный 238М-1701048;17460.64
Вал промежуточный 238Н-1701048;16240.64
Вал распределительный 842.1006010-10;80617.59999999999
Вал распределительный 846.1006015;70828.31999999999
Валик 240.1307023-Д;4349.3
Валик 8486.1605075-10;1769
Валик соединительный 240-1029336;2124.02
Ввертыш 316603-П29;235.46
Ввертыш 316611-П29;206.18
Ввертыш 316612-П29;114.67999999999999
Ввертыш 316613-П29;159.82
Ввертыш 316622-П29;251.32
Ввертыш 316623-П29;185.44
Ввертыш 316628-П29;134.2
Ввертыш 316632-П29;237.9
Вентилятор 8423.1308012-01;13579.82
Вентилятор 8423.1308012-11;13579.82
Винт с чашкой 840.1007147;300.12
Вилка 201-1722049-42;10883.619999999999
Вилка 201-1722050-41;6619.72
Втулка 202.1721340-40;379.42
Втулка 2381.1701026;1337.12
Втулка 238-1701121-10;2166.72
Втулка 238М-1701282;8349.68
Втулка 840.1003037-01;507.52
Втулка 840.1013630;835.6999999999999
Втулка 8423.1309075;156.16
Втулка маховика 840.1005121-01;2070.34
Втулка маховика 842.1005121;4240.72
Гайка 311416-П2;1888.56
Гайка 250959-П29;281.82
Гайка 311901-П2;108.58
Гайка 311905-П2;172.02
Гайка М10Х1,25-6Н 250517-П29;48.8
Гайка М48х1,5 311815-П29;624.64
Гайка шатуна 840.1004064;272.06
Гильза цилиндра 840.1002021-11;7761.639999999999
Гнездо 238М-1701078;5482.68
Головка цилиндра 240-1003014-Е2;26467.899999999998
Головка цилиндра 840.1003010-25;59013.84
Демультипликатор 239.1721005;164918.38
Демультипликатор 239В.1721005;155454.84
Демультипликатор 239В.1721005-01;155454.84
Демультипликатор 239В.1721005-03;162403.96
Диск ведомый 15.1601129;29758.239999999998
Диск ведомый 161.1601130;29758.239999999998
Диск ведомый 238.1601130-40;5574.18
Диск ведомый 238.1601131-40;5574.18
Диск ведомый 238-1601130-Б;10207.74
Диск ведомый 238-1601131;10207.74
Диск нажимной 151.1601090-10;88348.74
Диск средний 15.1601092;19197.92
Диск сцепления 2381.1601130;18286.579999999998
Заглушка 240-1029316-Б;82.96
Заглушка люка 841.1002323;196.42
Картер 202.1721014-50;45419.38
Картер 202-1721015-50;46109.9
Картер масляный 842.1009010-21;58111.04
Картер масляный 8423.1009010-11;51111.9
Картер масляный 8462.1009010;64173.22
Картер маховика 8421.1002310-51;140816.06
Картер маховика 8423.1002310-41;141703
Картер сцепления 8531.1601015-10;37705.32
Картер сцепления 8531.1601015-20;37705.32
Каталог двигателя;549
Клапан 236-1011363-Б2;1826.34
Клапан 240Б-1011363-А;1503.04
Клапан 240Н-1011268-Б;2708.4
Клапан 840.1011054;12384.22
Клапан перепускной 240Н-1011092;1876.36
Клапан редукционный 236-1011048-Б;1446.92
Клапан редукционный 240Н-1011048;2025.2
Кляммер 8423.1104825;65.88
Кляммер 8481.1303409;700.28
Кожух вентилятора 8423.1309010-10;3864.96
Коллектор 841.1008025;6540.42
Коллектор 841.1008026;6123.18
Коллектор 841.1008029;9361.06
Коллектор 841.1008030;9702.66
Коллектор 8423.1008025;5319.2
Коллектор 8423.1008026;5836.48
Коллектор 8423.1008029;7679.9
Коллектор 8423.1008030;7106.5
Коллектор 8482.1115014-12;11976.74
Коллектор левый 842.1115014-10;24471.98
Коллектор левый 8423.1115014-10;19753.02
Коллектор левый 8482.1115014-01;19753.02
Коллектор правый 842.1115012-10;19506.579999999998
Колпак 840.1012078-10;4333.44
Кольцо 840.1003466;1595.76
Кольцо 201.1701406;1163.8799999999999
Кольцо 201.1721334;124.44
Кольцо 201.1721390;690.52
Кольцо 201.1721413;170.79999999999998
Кольцо 202.1721157-40;9363.5
Кольцо 202-1721182-50;758.84
Кольцо 238-1701122;1184.62
Кольцо 238М-1701207-41;7989.78
Кольцо 238М-1721252;786.9
Кольцо 238М-1721382-011;556.3199999999999
Кольцо 8486.1605041;5249.66
Кольцо запорное 840.1303272;17.08
Кольцо зубчатое 202.1708230-40;2701.08
Кольцо стопорное 240-1029320-Б;123.22
Коробка 841.1303178-11;19872.579999999998
Коробка передач 2381.1700004-06;410138.38
Коробка передач 2381.1700004-07;416891.08
Коробка передач 2381.1700004-36;420710.89999999997
Коробка передач 2381.1700004-45;402240.1
Коромысло 840-1007110-02;8471.68
Коромысло 840-1007140-02;9544.06
Корпус 841.1012020;8452.16
Корпус 841.1318075-10;4648.2
Корпус 842.1013622;21859.96
Корпус в сборе 841.1318088;24151.12
Корпус охладителя 852.1170210;41205.5
Корпус подшипника 840.1029170;3132.96
Корпус подшипника 842.1029175-20;7315.12
Корпус подшипника 8481.1029734;4895.86
Корпус привода 240-1029172;1312.72
Корпус привода 240-1029329;1559.1599999999999
Корпус радиатора 842.1013620;25851.8
Корпус радиатора 8424.1013620;25851.8
Корпус сапуна 8423.1014182;2574.2
Корпус фильтра 840.1117020;9420.84
Корпус фильтра 840.1117022-01;6734.4
Корпус фильтра 841.1012015 *;16820.14
Корпус фильтра 8481.1012015-02;21247.52
Корпус фильтра 8481.1012020;17571.66
Корпус фильтра 8481.1117020-20;13222.36
Корпус фильтра 8481.1117022;11359.42
Корпус-кронштейн 841.1318090;22685.899999999998
Кронштейн 841.1001017-01;12967.38
Кронштейн 842.1022815;87.84
Кронштейн 8423.1108039;1337.12
Кронштейн 8423.1309064;596.58
Кронштейн 8423.1309066;596.58
Кронштейн 8423.1309072;725.9
Кронштейн 8423.3701774-01;2407.06
Кронштейн 8431.1115182;2918.24
Кронштейн 8437.3701774;9960.08
Кронштейн 8481.1001030-01;4890.98
Кронштейн 8481.1001034-01;4751.9
Кронштейн 8481.1108111;596.58
Кронштейн 8481.1303408;799.1
Кронштейн 8481.8111770-10;2203.32
Кронштейн 8486.1170326-10;16610.3
Кронштейн 8486.1212050-10;5182.5599999999995
Кронштейн 8486.3701774-11;4912.94
Кронштейн 852.1001017;12988.119999999999
Кронштейн фильтра 841.1117152;851.56
Крышка 841.1002260-02;28328.399999999998
Крышка 841.1002264;23807.079999999998
Крышка 842.1013708-02;6180.5199999999995
Крышка 8423.1170270-20;9151.22
Крышка 8424.1013694;4668.94
Крышка 8486.1605055;16401.68
Крышка блока 850.1002264-10;28612.66
Крышка головки 840.1003264;1598.2
Крышка головки 8463.1003264;2732.7999999999997
Крышка головки 849.1003264-01;2443.66
Крышка манжеты 240-1029312;850.34
Крышка насоса 240-1307045;705.16
К-т гильзы с поршнем 847.1004008-05;16093.02
К-т гильзы с поршнем 8401.1004008-05;16093.02
К-т гильзы с поршнем 847.1004008-01;14631.46
К-т гильзы с поршнем 8401.1004008-01;14631.46
Манжета 841.1318186;1215.12
Манжета 8486.1605030;9058.5
Маховик 8435.1005115;45382.78
Маховик 8481.1005115;32592.3
Маховик 8531.1005115;58431.9
Муфта 201-1721180-50;11136.16
Муфта 202.1721386;3214.7
Муфта 236.1601180-40;3335.48
Муфта 236-1601180-Б2;2974.36
Муфта 23811-1721168-20;11442.38
Муфта 238-1701280;5327.74
Муфта 238М-1721170-20;10352.92
Муфта 239.1721168-10;17349.62
Муфта 841.1303256-01;1912.96
Направляющая 8401.1007250-10;13394.38
Направляющая толк. 8401.1007250;12335.42
Насос водяной 236-1307010-А3;15049.92
Насос водяной 238АК-1307010;13690.84
Насос водяной 240-1307010-А1;18559.86
Насос водяной 241-1307010-А1;35192.12
Насос водяной 8423.1307010-20;18282.92
Насос водяной 8424.1307010-13;22783.5
Насос водяной 8481.1307010-13;23387.399999999998
Насос водяной 8486.1307010-13;29980.28
Насос масляный 236-1011014-В3;19197.92
Насос масляный 240-1011014-Б;16110.1
Насос масляный 240Н-1011014-Б;16151.58
Насос масляный 8421.1011014;28094.16
Насос масляный 8481.1011014;38728.9
Натяжное устройство 841.1308110;14614.38
Натяжное устройство 842.1307155;11453.36
Натяжное устройство 8424.1318110-02;15440.32
Натяжное устройство 8481.1307155;12717.279999999999
Натяжное устройство 8486.1307155;22979.92
Натяжное устройство 8486.1308110-30;51394.94
Ниппель 236-1306082;441.64
Обод маховика 842.1005125-20;16204.039999999999
Ось 201.1722055;1986.1599999999999
Ось 201.1722057;1704.34
Ось 201.1722077;771.04
Ось 841.1307184;915
Ось 842.1029578;6596.54
Ось 8486.1308116-20;7792.139999999999
Ось коромысла 840.1007091-01;3567.2799999999997
Ось коромысла 840.1007100-01;3342.7999999999997
Ось сателлита 202-1721330-50;858.88
Ось шестерни 840.1029128;4377.36
Охладитель 8481.1170200-03;150728.56
Палец 841.3701780;324.52
Патрубок 841.1303160-10;3372.08
Патрубок 841.1303240;3267.16
Патрубок 842.1014138;1099.22
Патрубок 842.1115032-13;6445.26
Патрубок 842.1303166-10;3237.88
Патрубок 842.1303168-21;3023.16
Патрубок 8421.1008344-20;16783.54
Патрубок 8423.1008344-20;17842.5
Патрубок 8423.1008346-20;12642.86
Патрубок 8423.1009132;6540.42
Патрубок 8423.1303174;5411.92
Патрубок 8423.1303278-11;1903.2
Патрубок 8423.1303291;8174
Патрубок 8423.1303308;1595.76
Патрубок 8431.1115030;16141.82
Патрубок 846.1303090-02;10207.74
Патрубок 846.1303168;3606.3199999999997
Патрубок 8481.1118208;12372.02
Патрубок 8481.1303290;6993.04
Патрубок 8481.1303305;12544.039999999999
Патрубок 8484.1118208;4700.66
Патрубок 8486.1118261;33257.2
Патрубок 849.1303174;3705.14
Патрубок 8522.1115032-01;12408.619999999999
Патрубок 854.1118206;3960.12
Патрубок верхний 8421.1118246;2590.06
Патрубок верхний 8486.1118380-10;29659.42
Патрубок компрессора 8431.1115120;13382.18
Патрубок коробки 842.1303126;4185.82
Патрубок коробки 842.1303130;3778.3399999999997
Патрубок коробки 8423.1303130;7101.62
Патрубок нижний 8421.1118248;2590.06
Патрубок нижний 8486.1118259-10;22217.42
Патрубок с крышкой 8423.1009130;6540.42
Патрубок сливной 841.1318196;1141.92
Патрубок сливной 8481.1118248;1439.6
Планка 841.3701790;265.96
Планка 8486.3701790;324.52
Пластина 840.1005128;448.96
Пластина задняя 840.1029272-10;594.14
Пластина передняя 840.1029274-10;594.14
Полумуфта ведомая 840.1029286-10;5647.38
Полумуфта ведомая 842.1029286;4294.4
Полумуфта ведущая 840.1029260-11;5691.3
Полумуфта ведущая 840.1029268-10;2464.4
Привод 8481.1318010-20;105451.92
Привод агрегатов 240-1029326;21053.54
Привод вентилятора 8437.1308011;209289.78
Привод вентилятора 8481.1318008-20;105883.8
Привод вентилятора 8481.1318008-30;105587.34
Привод вентилятора 8481.1318010-30;105760.58
Привод рычага 85227.1108005;17047.06
Пробка 316109-П29;890.6
Пробка 316176-П2;647.8199999999999
Пробка 316188-П2;614.88
Пробка 840.1012293-10;2413.16
Прокладка 201.1721414;132.98
Прокладка 201.1721442;154.94
Прокладка 312616-П;599.02
Прокладка 8421.1008045;239.12
Прокладка 8424.1115036;849.12
Прокладка 8486.1118260-10;2339.96
Проставка 238М-1721042-60;41365.32
Проставка 239.1721042-10;46762.6
Проставка 8424.1012011;20516.739999999998
Проставка 846.1005525;14319.14
Проставка 8481.8111798;1556.72
Проставка 8486.1008354-10;2781.6
Проставка 8486.1008355-10;2781.6
Проставка фильтра 8424.1012012-01;18085.28
Проставка фильтра 8462.1012011-01;68794.58
Противовес передний 8423.1005026;6373.28
Пружина 8486.1605025-10;874.74
Радиатор масляный 842.1013600-13;103702.44
Редуктор 8481.1029702-10;76791.68
Редуктор с насосом 8481-1029700;87782.66
Сапун в сборе 8423.1014100;7174.82
Сателлит 202.1721325-40;3760.04
Сегмент 238М-1721356;1708
Седло клапана 840.1003108-21;729.56
Сетка ВМР 842.1013700;505.08
Скоба 840.1112163;414.8
Скоба 842.3708722-10;2851.14
Стойка оси 840.1007106;1395.68
Ступица 841.1318178-20;2122.7999999999997
Ступица 8437.1308652;15070.66
Ступица привода 240-1029332;2627.88
Съемник форсунки 840.3901210;1910.52
Тарелка пружины 840.1007024;213.5
Толкатель 840.1007180;7761.639999999999
Труба 841.1303088-01;8147.16
Труба 842.1011406-10;1664.08
Труба 8421.1118230;4973.94
Труба 8431.1115145-10;5392.4
Труба 8486.1008046-10;11021.48
Труба 852.1011350;2225.2799999999997
Труба всасывающая 8462.1011400-11;3520.92
Труба левая 842.1303105-10;7089.42
Труба левая 8421.1008043-10;5873.08
Труба левая 8423.1008043-10;6836.88
Труба отводящая 841.1303156;2309.46
Трубка 8481.3509278-20;1950.78
Труба правая 8421.1008042-20;5688.86
Труба правая 8423.1008042-10;5616.88
Труба правая 8423.1303104-10;6171.98
Труба соединительная 8486.1118255-11;8770.58
Трубка 842.1011350-11;1831.22
Трубка 8421.1011400-01;3214.7
Трубка 8421.1111538-10;2444.88
Трубка 8423.1011400-20;5319.2
Трубка 8481.3509240-10;3031.7
Трубка 8481.3509260;993.0799999999999
Трубка 8481.3509280-20;855.22
Трубка 8486.1118220-10;4338.32
Трубка дренажная 842.1104370-10;3785.66
Трубка дренажная 8423.1104370-10;3771.02
Трубка дренажная 8481.1104620;1718.98
Трубка отвода воды 8481.3509280-10;1919.06
Трубка отвода масла 842.1111570-01;2053.2599999999998
Трубка отводящая 842.1104382-10;3380.62
Трубка отводящая 842.1104384-10;2508.32
Трубка отводящая 8421.1104382;3220.7999999999997
Трубка отводящая 8421.1104422;4058.94
Трубка подвода масла 8421.1118220;2989
Трубка подвода масла 8423.1118220-20;2590.06
Трубка подводящая 8421.1104410;2666.92
Трубка подводящая 8423.1104410;2508.32
Трубка подводящая 8424.1104426-20;5172.8
Трубка подводящая 8424.1318150;2030.08
Трубка слива масла 8435.1118230;6540.42
Трубка слива масла 8486.1118230-10;6401.34
Трубка сливная 841.1318130;1581.12
Трубка топливная 842.1104373-10;1949.56
Трубка топливная 8424.1022826;1033.34
Трубка топливная 8431.1022840;2780.38
Трубка указателя 8423.1009059;3812.5
Тяга 8481.1108350-10;3444.06
Тяга 8481.1108360-10;4068.7
Тяга рычага 8423.1108050-10;1106.54
Указатель масла 842.1009050;915
Указатель масла 8423.1009050-20;856.4399999999999
Установка сапуна 8463.1014100-50;8622.96
Установка сапуна 8463.1014100-60;9134.14
Установка УВГ 8423.1319007-01;18187.76
Фиксатор 201.1722094-40;214.72
Фиксатор маховика 840.1005440;8399.699999999999
Фильтр масляный 841.1012010;25467.5
Фильтр очистки 8481.1012010-02;26426.42
Фильтр топливный 840.1117010;12359.82
Фланец 202.1721240-40;4732.38
Фланец 238К-1721240-01;10496.88
Фланец 238М-1721240-30;8890.14
Фланец 840.3509294;196.42
Фланец 842.1011293;1337.12
Фланец 842.1011356;1088.24
Фланец 842.1011415;1399.34
Фланец патрубка 8486.1118258-10;3928.4
Фланец полумуфты 840.1029264-10;4100.42
Фланец полумуфты 840.1029270-10;3241.54
Фланец полумуфты 840.1029288-10;1337.12
Фланец с пластинами 840.1029262-11;7479.82
Хомут 840.1008328;2257
Центрифуга 840.1028010;39702.46
Цилиндр 238М-1722020-50;18347.579999999998
Шайба 312570-П29;26.84
Шайба 312571-П2;6.1
Шайба 312692-П;84.17999999999999
Шатун 8401.1004045;23165.36
Шестерня 202.1721375-51;5729.12
Шестерня 238-1701082;6747.82
Шестерня 238-1701140;7166.28
Шестерня 238М-1701050;9276.88
Шестерня 238М-1701112;9217.1
Шестерня 840.1005030-01;8053.22
Шестерня 840.1011230;8975.539999999999
Шестерня 8481.1029724-10;8609.539999999999
Шестерня ведомая 236-1011030-Б;1033.34
Шестерня ведомая 240-1029230;2413.16
Шестерня ведомая 842.1029584;13715.24
Шестерня ведущая 236-1011100;484.34
Шестерня ведущая 240Б-1011040;2479.04
Шестерня ведущая 840.1029115-02;13887.26
Шестерня коронная 202.1721350-40;31396.7
Шестерня коронная 202.1721354-40;28574.84
Шестерня привода 236-1011230-А;1355.42
Шестерня привода 240-1011230-А;1381.04
Шестерня привода 841.1011240;10516.4
Шкив 236-1307212-Б3;2607.14
Шкив 841.1005061;7955.62
Шкив 841.1308112;4463.98
Шкив 84211.1318176-10;8615.64
Шкив 8423.1005061-20;9328.119999999999
Шкив 8423.1307216;2314.34
Шкив 8481.1005061;30632.98
Шкив 8481.1318176-21;8247.2
Шкив 8486.1005061-12;28982.32
Шкив 8486.1005061-40;23621.64
Шкив 8486.1308112-30;14380.14
Шкив вала 8481.1005061-40;30226.719999999998
Шкив привода 8481.1318176;9117.06
Шпилька 310469-П2;286.7
Шпилька 310470-П2;235.46
Шпилька 310471-П2;203.74
Шпилька 840.1005167;974.78
Шпонка 459.8246266;185.44
Шпонка 8х7х32 314132-П2;146.4
Шпонка 459.8246265;39.04
Шпонка 459.8246270;242.78
Штанга толкателя 840.1007174-02;1838.54
Штанга толкателя 840.1007174-20;1838.54
Штанга толкателя 840.1007176-02;1718.98
Штанга толкателя 840.1007176-20;1718.98
Штифт 238М-1721166;153.72
Шток 238-1702060;1184.62
Шток 238-1702064;1296.86
Шток 238-1702074;620.98
Шток 238М-1722038-50;1986.1599999999999
Штуцер 8481.3509303;373.32
Штуцер 8481.3509304;204.96
Комплект головок  8802.1003700 (8 шт.);406787.04
Лебедка ЛТ-100 100.4501010;686111.1396
Лебедка 4326.4501010;367993.48
Лебедка 4310.4501010;367876.36
Блок лебедки 4310-4505010;32933.9
Вал барабана 4310-4501030;35260.44
Вал барабана 4310-4501034;22124.7
Вилка 4310-4503034;1586
Винт ходовой 4310-4511051-10;10129.66
Втулка 4310-4501022;3905.22
Втулка 4310-4501127;2653.5
Втулка траверсы 4310-4501235;5197.2
Звездочка ведомая 4310-4511095;4367.599999999999
Звездочка ведущая 4310-4511073;3833.24
Картер редуктора лебедки 4310-4501020;17214.2
Колесо 4310-4501035;95373.5
Корпус привода тросоукладчика 4310-4511145;10742.1
Корпус тросоукладчика с трубой 4310-4511012;16086.92
Крышка сухаря тросоукладчика 4310-4511115;1972.74
Муфта включения редуктора 4310-4503020;2641.2999999999997
Направляющая корпуса 4310-4511121;4535.96
Редуктор лебедки 4310-4501014;195889.3
Ролики направляющие троса 4310-4501280;38549.56
Стакан 4310-4501026;6457.46
Стакан 4310-4501028;3381.84
Стакан с втулкой 4310-4501024;7204.099999999999
Стопор втулки траверса 4310-4501236;320.86
Сухарь тросоукладчика 4310-4511105-10;1827.56
Траверса вала барабана 4310-4501230;9506.24
Траверса вала барабана 4310-4501234;5580.28
Трос лебедки 4310-4504015;115455.92
Тросоукладчик лебедки 4310-4511010;51108.24
Цепь привода 4310-4511090;2156.96
Червяк редуктора лебедки 4310-4501060;11266.699999999999